       team_name       |   first_name   |      last_name      |  avg  | n  
 Sacramento State      | Jennifer       | Brenner             | 9.517 |  9
 West Chester          | Melissa        | Prisco              | 9.514 |  9
 Wisconsin-Whitewater  | Courtney       | Pickett             | 9.514 |  9
 S.E. Missouri         | Jordan         | Clark               | 9.514 | 12
 UIC                   | Citlali        | Cuevas              | 9.513 | 10
 Yale                  | Sloane         | Smith               | 9.513 |  2
 William & Mary        | BRI            | GIRONDA             | 9.513 | 10
 Arizona State         | Savannah       | Borman              | 9.511 | 10
 Yale                  | Joyce          | Li                  | 9.510 | 10
 Arizona State         | Carissa        | Kraus               | 9.506 | 11
 Centenary College     | Kellie         | Slater              | 9.506 | 12
 Ursinus College       | Heather        | Brubaker            | 9.505 |  5
 Brockport State       | Stephanie      | Schuler             | 9.505 | 10
 Seattle Pacific       | Cara           | LORD                | 9.503 | 11
 Illinois-Champaign    | Jordyn         | Givens              | 9.502 | 11
 New Hampshire         | LAUREN         | BRODIE              | 9.500 |  6
 Illinois-Champaign    | Kelsi          | Eberly              | 9.500 | 11
 Seattle Pacific       | Breanna        | BELTRAN             | 9.500 | 11
 Brown                 | Jorden         | Mitchell            | 9.500 | 11
 Ursinus College       | Kristina       | Steffenhagan        | 9.494 |  9
 Temple                | Alexis         | Arena               | 9.492 | 11
 Alaska                | Stefany        | Bryan               | 9.492 |  9
 Brockport State       | Lexi           | King                | 9.489 |  9
 Iowa                  | Mollie         | Drenth              | 9.488 | 11
 Yale                  | Anna           | Merkuryev           | 9.485 | 10
 Brockport State       | Ananda         | Carney              | 9.485 | 10
 Alaska                | Emily          | Ramberg             | 9.484 | 11
 Oregon State          | Chelsea        | Tang                | 9.483 | 12
 Yale                  | Brianna        | Chrisman            | 9.480 |  6
 Temple                | Lauren         | Capone              | 9.475 | 11
 Lindenwood University | Dani           | Fumagalli           | 9.475 |  9
 Seattle Pacific       | Brittany       | ATCHISON            | 9.475 |  9
 Yale                  | Katherine      | Lucas               | 9.475 |  9
 West Virginia         | Lia            | Salzano             | 9.475 |  1
 Iowa State            | Allie          | Hansen              | 9.475 |  8
 San Jose State        | Amy            | Bellingham          | 9.475 |  7
 Sacramento State      | Emily          | Bolton              | 9.475 |  1
 Winona State          | Jade           | Donaldson           | 9.473 | 12
 UIC                   | Ryann          | Conners             | 9.471 |  6
 Kent State            | Amiah          | Mims                | 9.470 | 11
 Texas Woman's         | Katie          | Simpson             | 9.465 | 12
 Centenary College     | Allison        | Scates              | 9.463 | 13
 Cornell               | Allison        | Franz               | 9.463 |  4
 Cortland State        | Elise          | Konikoff            | 9.458 | 10
 Wisconsin-Stout       | Kenzie         | Hyde                | 9.457 |  7
 Pennsylvania          | Wynne          | Levy                | 9.456 |  8
 Cortland State        | Meghan         | Goyden              | 9.455 | 10
 Brown                 | Brooke         | Williams            | 9.452 | 11
 Brockport State       | Olivia         | Sylvestro           | 9.450 |  7
 Ball State            | Juliana        | Booth               | 9.450 |  9
 Lindenwood University | Alicia         | Floyd               | 9.450 |  2
 Pittsburgh            | Maegan         | Higdon              | 9.450 |  4
 New Hampshire         | JEN            | KING                | 9.450 |  6
 West Chester          | Samantha       | Engle               | 9.447 |  9
 Pennsylvania          | Carissa        | Lim                 | 9.447 |  8
 Alaska                | Julia          | York                | 9.446 |  9
 Iowa                  | Nikki          | Youd                | 9.444 |  7
 Brown                 | Diana          | Walters             | 9.443 | 11
 Wisconsin-La Crosse   | Nicole         | Wangler             | 9.442 |  3
 S.E. Missouri         | McKenna        | Stanley             | 9.442 | 12
 Yale                  | Anella         | Anderson            | 9.438 | 10
 Wisconsin-Whitewater  | Hannah         | Lee                 | 9.438 |  9
 Brown                 | Danielle       | Hoffman             | 9.436 | 11
 S.E. Missouri         | Chelsi         | Hamilton            | 9.430 | 10
 Air Force Academy     | Kara           | Witgen              | 9.430 | 11
 George Washington     | Madeline       | Seibold             | 9.425 |  3
 Temple                | Brittanie      | DeMeno              | 9.425 |  1
 UIC                   | Emily          | DeCesare            | 9.425 | 11
 Ursinus College       | Monique        | Brooks              | 9.425 |  9
 Illinois State        | Kristen        | Lieberman           | 9.421 | 12
 Centenary College     | Natalie        | Humbert             | 9.421 |  8
 Brockport State       | Brittany       | Vasile              | 9.420 | 10
 North Carolina        | Josselyn       | Mackey              | 9.419 |  9
 West Chester          | Meghan         | Chan                | 9.419 |  5
 Northern Illinois     | Brittany       | Wenzel              | 9.419 | 12
 Gustavus Adolphus     | Alexandra      | Kopp                | 9.418 | 11
 William & Mary        | ALYSSA         | GLASS               | 9.417 |  9
 Illinois State        | Demi           | Pas                 | 9.417 | 11
 Cortland State        | Maddy          | Scozzie             | 9.417 | 10
 Wisconsin-Eau Claire  | Julia          | Stedman             | 9.414 |  9
 Arizona State         | Kristine       | Levin               | 9.413 | 11
 Cornell               | Lauren         | Wong                | 9.411 |  7
 Towson University     | Tyra           | McKellar            | 9.406 | 12
 West Chester          | Rose           | Wortman             | 9.405 | 11
 Kent State            | Whitnee        | Johnson             | 9.400 |  6
 Cornell               | Joy            | Gage                | 9.400 | 11
 Seattle Pacific       | Tracie         | VILLANUEVA          | 9.400 | 11
 William & Mary        | MONICA         | OUELLET             | 9.400 | 10
 Wisconsin-La Crosse   | Samantha       | Wiekamp             | 9.397 | 10
 Pittsburgh            | Tiara          | Chadran             | 9.396 | 11
 Texas Woman's         | Spencer        | Jones               | 9.393 | 12
 Springfield College   | Lauren         | Pocius              | 9.390 | 10
 Ithaca College        | Valerie        | Cohen               | 9.386 |  9
 Springfield College   | Kristin        | Feliu               | 9.386 |  7
 Brockport State       | Bridgette      | Schaal              | 9.380 |  5
 William & Mary        | KRISTIE        | WEI                 | 9.378 |  8
 Temple                | Danielle       | Vahala              | 9.375 |  3
 Pennsylvania          | Jill           | Fordiani            | 9.372 |  9
 Temple                | Gina           | Tucker              | 9.370 |  7
 Air Force Academy     | Casey          | Bell                | 9.368 | 11
 Cortland State        | Meghan         | Cobb                | 9.363 |  8
 Springfield College   | Abby           | Clark               | 9.361 | 10
 Cornell               | Samantha       | VanderPutten        | 9.359 | 11
 Ursinus College       | Kelsey         | Stewart             | 9.358 |  9
 Wisconsin-Whitewater  | Cici           | Talcott             | 9.356 |  9
 Cornell               | Krystin        | Chiellini           | 9.353 |  9
 Pennsylvania          | Ally           | Podsednik           | 9.350 |  7
 Ursinus College       | Kristin        | Aichele             | 9.350 |  8
 Bridgeport            | Rachel         | DICARLO             | 9.350 | 13
 Bridgeport            | Maggie         | CORTESE             | 9.350 |  1
 Wisconsin-Stout       | Kelly          | Huseman             | 9.346 |  9
 Wisconsin-Stout       | Randi          | Schorzman           | 9.343 | 10
 Ithaca College        | Rachel         | Lee                 | 9.341 |  9
 Southern Conn.        | Samantha       | Menichini           | 9.336 | 11
 Springfield College   | Madison        | Bowen               | 9.336 |  9
 Cortland State        | Amanda         | Scanlon             | 9.333 | 10
 Winona State          | Brooke         | Hiestand            | 9.327 | 12
 Yale                  | Morgan         | Traina              | 9.325 | 10
 North Carolina        | Christina      | Pheil               | 9.325 |  2
 William & Mary        | FALLON         | WAY                 | 9.325 |  1
 Wisconsin-Eau Claire  | Desirae        | Stanton             | 9.322 |  9
 Wisconsin-Whitewater  | Lewa           | Evans               | 9.314 |  9
 Southern Conn.        | Jasmine        | Zambrana            | 9.313 |  2
 Rhode Island College  | Victoria       | Costello            | 9.310 | 10
 Cortland State        | McKenna        | Passalacqua         | 9.308 | 10
 Brockport State       | Casey          | Attenberger         | 9.300 |  1
 Ursinus College       | Riley          | Acton               | 9.300 |  9
 Winona State          | Emily          | Goldeman            | 9.292 | 12
 Wisconsin-La Crosse   | Leah           | Spankowski          | 9.288 |  3
 Wisconsin-La Crosse   | Sheree         | Romesburg           | 9.281 |  4
 Wisconsin-Oshkosh     | Emily          | Ryan                | 9.281 |  4
 Wisconsin-Oshkosh     | Krystal        | Walker              | 9.281 |  9
 Ithaca College        | Kaylee         | Pacunas             | 9.278 |  9
 Yale                  | Allison        | Bushman             | 9.275 |  8
 Air Force Academy     | Joey           | Ching               | 9.263 |  4
 Temple                | Michaela       | Lapent              | 9.263 | 11
 Hamline               | Jacklyn        | Clements            | 9.255 | 10
 Wisconsin-La Crosse   | Ali            | Berry               | 9.254 |  8
 Wisconsin-La Crosse   | Savana         | Kettner             | 9.253 | 10
 Seattle Pacific       | Kristi         | HAYASHIDA           | 9.250 | 11
 Northern Illinois     | Jaelyn         | Olsen               | 9.250 |  8
 Hamline               | Sela           | Fadness             | 9.248 | 10
 Wisconsin-Eau Claire  | Elizabeth      | Stubbs              | 9.238 |  8
 Winona State          | Taylor         | Lewis               | 9.225 | 12
 Illinois-Champaign    | Suren          | Kanchanavaleerat    | 9.225 |  1
 Ursinus College       | Kelly          | McLaughlin          | 9.225 |  4
 Cortland State        | Michaela       | Stumpf              | 9.221 |  7
 Ithaca College        | Megan          | Harrington          | 9.219 |  9
 Springfield College   | Nicole         | Silva               | 9.213 |  9
 Hamline               | Erika          | Briscoe             | 9.208 | 10
 Ursinus College       | Alyssa         | Hershmen            | 9.206 |  4
 Winona State          | Veronica       | Peterson            | 9.206 | 12
 Rhode Island College  | Erin           | Shea                | 9.205 | 10
 Winona State          | Joanna         | Reale               | 9.204 | 12
 Wisconsin-Stout       | Callie         | Counts              | 9.195 | 10
 Wisconsin-Eau Claire  | Lauren         | Zurowski            | 9.194 |  9
 Rhode Island College  | Emma           | Hartan              | 9.188 | 10
 Springfield College   | Gabby          | Christ              | 9.184 |  8
 Wisconsin-La Crosse   | Kari           | Willett             | 9.183 |  7
 Pittsburgh            | Lindsay        | Offutt              | 9.183 | 11
 Hamline               | Alexis         | Nault               | 9.178 | 10
 Bowling Green         | Alex           | Porter              | 9.175 |  2
 Wisconsin-La Crosse   | Rose           | Franke              | 9.175 |  1
 Hamline               | Alyssa         | Huch                | 9.169 |  9
 Centenary College     | Taylor         | LeMoal              | 9.163 | 13
 Rhode Island College  | Sammie         | LeMire              | 9.158 |  6
 Brockport State       | Marla          | Thomas              | 9.150 |  5
 Ithaca College        | Melissa        | Hollrigl            | 9.150 |  9
 Wisconsin-Eau Claire  | Bailee         | Espelien            | 9.144 |  4
 Wisconsin-La Crosse   | Lauren         | Wilson              | 9.133 | 10
 Cortland State        | Nicole         | Zangoglia           | 9.125 | 10
 Wisconsin-Eau Claire  | Destiny        | Cobbs               | 9.125 |  8
 Hamline               | Sarah          | Dyer                | 9.125 | 10
 Wisconsin-Eau Claire  | Victoria       | Erickson            | 9.114 |  9
 Gustavus Adolphus     | Emily          | Anderson            | 9.114 | 11
 Ithaca College        | Ingrid         | Calfee              | 9.100 |  9
 Wisconsin-Oshkosh     | Kimberly       | Robertson           | 9.100 |  9
 Wisconsin-Eau Claire  | Rebecca        | Wilcox              | 9.094 |  8
 Gustavus Adolphus     | Lauren         | Kershner            | 9.089 | 11
 Centenary College     | Sylvia         | Keiter              | 9.079 | 13
 Hamline               | Emily          | Giefer              | 9.075 | 10
 Wisconsin-Eau Claire  | Autumn         | Lefever             | 9.075 |  1
 Gustavus Adolphus     | Kate           | Schneider           | 9.055 | 11
 Wisconsin-La Crosse   | Ana            | Ginter              | 9.050 |  4
 Wisconsin-Oshkosh     | Amanda         | McBrayer            | 9.050 |  9
 Hamline               | Yabrei         | Butts               | 9.043 | 10
 Rhode Island College  | Emily          | Murphy              | 9.042 | 10
 Wisconsin-Stout       | Sara           | Perez               | 9.033 | 10
 Rhode Island College  | Corrine        | Paul                | 9.018 | 10
 Brown                 | Alexandra      | Chretien            | 9.000 | 11
 Seattle Pacific       | Teryn          | LOLAND              | 9.000 |  2
 Wisconsin-Eau Claire  | Malyssa        | Krajco              | 9.000 |  2
 Wisconsin-Oshkosh     | Nicole         | deRoode             | 8.978 |  9
 Brockport State       | Jennifer       | Sklenar             | 8.975 |  9
 Gustavus Adolphus     | Jaimie         | Niedermayer         | 8.963 | 11
 Ursinus College       | Amanda         | Palladino           | 8.950 |  9
 Wisconsin-Stout       | Tara           | Zimmerman           | 8.950 | 10
 Rhode Island College  | Erin           | Craig               | 8.938 |  4
 Cortland State        | Kylie          | Feldman             | 8.938 |  9
 Rutgers               | Emma           | Hoffman             | 8.925 | 12
 Gustavus Adolphus     | Maggie         | Willis              | 8.925 |  5
 Springfield College   | Jenna          | Croteau             | 8.913 | 10
 Wisconsin-Oshkosh     | Taylor         | Ennocenti           | 8.911 |  9
 Springfield College   | Olivia         | Morrell             | 8.900 |  4
 Cortland State        | Ari            | Turso               | 8.888 |  8
 Wisconsin-Stout       | Kourtland      | Thompson            | 8.860 | 10
 Wisconsin-La Crosse   | Kendall        | Westrich            | 8.825 |  7
 Western Michigan      | Kira           | Hoy                 | 8.825 |  4
 Wisconsin-Oshkosh     | Kasandra       | Stamopoulos         | 8.821 |  9
 Rhode Island College  | Courtney       | Osborn              | 8.746 | 10
 Wisconsin-La Crosse   | Amy            | Enright             | 8.704 | 10
 Ithaca College        | Danielle       | Maffuid             | 8.700 |  1
 Auburn                | Sarah          | Garcia              | 8.675 |  1
 Wisconsin-Stout       | Jordana        | Brady               | 8.650 |  6
 Gustavus Adolphus     | Rachel         | Thiner              | 8.625 | 11
 Gustavus Adolphus     | Alyssa         | Ciatti              | 8.488 | 11
 Hamline               | Mickaela       | O'Malley            | 8.450 |  3
 Brockport State       | Jill           | Daddario            | 8.450 |  6
 Gustavus Adolphus     | Rachel         | Dargis              | 8.400 |  1
 Illinois State        | Danci          | Cha                 | 8.250 | 12
 Cortland State        | Bailey         | Gildemeyer          | 8.150 | 10
 Pennsylvania          | Rachel         | Graham              |       |  6
 Cornell               | Maia           | Vernacchia          |       |  8
 Southern Conn.        | Kasey          | Kilmurray           |       | 11
 Wisconsin-Oshkosh     | Alyssa         | Noel                |       |  3
 Cortland State        | Tara           | Sweeney             |       |  4
 Central Michigan      | Kylie          | Fagan               |       | 12
 Temple                | Alexandra      | Forcucci            |       |  6
 Seattle Pacific       | Alexa          | OKAMURA             |       |  8
 New Hampshire         | KAYLA          | GRAY                |       | 12
 Cornell               | Kennedy        | Prentice            |       |  2
 Eastern Michigan      | Nikki          | Paterson            |       | 12
 UCLA                  | Napualani      | Hall                |       |  5
 Auburn                | Megan          | Walker              |       | 12
 Brockport State       | Faith          | Burns               |       |  7
 Washington            | Faith          | Morrison            |       | 10
 Seattle Pacific       | Renee          | ZOGRAFOS            |       | 11
 Eastern Michigan      | Kirsten        | Gendron             |       |  1
 Oklahoma              | Rebecca        | Clark               |       | 12
 Washington            | Janae          | Janik               |       | 11
 Bridgeport            | Amber          | HILL                |       | 13
 Wisconsin-Whitewater  | Megan          | Love                |       |  2
 Air Force Academy     | Alexandra      | Stych               |       | 11
 Rutgers               | Claudia        | Salinas             |       | 12
 Arizona               | Victoria       | Ortiz               |       | 12
 UCLA                  | Danusia        | Francis             |       | 11
 S.E. Missouri         | Chloe          | Marshall            |       |  2
 Northern Illinois     | Shelby         | Davis               |       | 11
 Rutgers               | Jenna          | Crisalli            |       | 10
 Iowa State            | Kristen        | DeCosta             |       | 11
 Rhode Island College  | Jackie         | Hahn                |       | 10
 Wisconsin-Oshkosh     | Valene         | Knutson             |       |  6
 Towson University     | Bridget        | Steffen             |       | 12
 Kentucky              | Taylor         | Puryear             |       | 11
 Pennsylvania          | Amanda         | Schlaefer           |       |  9
 Bridgeport            | Brianna        | COMPORT             |       | 13
 BYU                   | Emily          | Vidmar              |       | 12
 Wisconsin-La Crosse   | Monique        | Muehlethaler        |       |  3
 Oregon State          | Nicole         | Turner              |       | 10
 Hamline               | Morgan         | Bradford            |       | 10
 Rhode Island College  | Cherise        | Lee                 |       | 10
 Arkansas              | Keara          | Glover              |       | 12
 Ithaca College        | Shelby         | Scanlon             |       |  1
 Michigan              | Nichelle       | Christopherson      |       |  4
 Wisconsin-La Crosse   | Chelsie        | Richards            |       |  5
 Gustavus Adolphus     | Kalyn          | Botzet              |       |  8
 Minnesota             | Madie          | Hanley              |       | 12
 Southern Conn.        | Emily          | Shelton             |       |  8
 Bowling Green         | Laura          | Mitchell            |       |  8
 Rutgers               | Charly         | Santagado           |       | 11
 Kentucky              | Amy            | Roemmele            |       | 11
 Air Force Academy     | Shannen        | Kelly               |       | 11
 BYU                   | Kyleigh        | Greenlief           |       |  8
 Ursinus College       | Kelsey         | Jewell              |       |  9
 San Jose State        | Allison        | Bellingham          |       |  7
 Air Force Academy     | Lindsay        | Ebel                |       |  7
 Wisconsin-La Crosse   | Kerry          | Scafidi             |       |  7
 California            | Jordan         | Widener             |       | 10
 Michigan State        | Kira           | Frederick           |       | 13
 Wisconsin-Eau Claire  | Sarah          | Engstrom            |       |  9
 UC Davis              | Lisa           | Wiktorski           |       | 12
 UIC                   | Nicole         | Szabo               |       | 11
 Eastern Michigan      | Lacey          | Rubin               |       | 12
 Northern Illinois     | Natalie        | Amadio              |       | 12
 Brown                 | Regan          | Butchness           |       | 10
 Ithaca College        | Mina           | Shernan             |       |  9
 Central Michigan      | Bryttany       | Kaplan              |       |  6
 Nebraska              | Jennifer       | Lauer               |       | 11
 Utah State            | Melanie        | Oster               |       |  6
 Towson University     | Lauren         | Ross                |       | 12
 Towson University     | Gabriella      | Yarussi             |       |  3
 North Carolina State  | Nicole         | Wild                |       | 11
 Kent State            | Nicole         | Radon               |       | 11
 Utah                  | MADDY          | STOVER              |       | 11
 Air Force Academy     | Annie          | Graft               |       | 11
 Denver                | Claire         | Hammen              |       |  1
 Gustavus Adolphus     | Jessica        | Niedermayer         |       | 11
 Hamline               | Olivia         | Kressler            |       | 10
 Rutgers               | Claire         | Jones               |       | 10
 BYU                   | Taylor         | Harward             |       | 11
 Seattle Pacific       | Amanda         | WILLINGHAM          |       |  8
 Stanford              | Haley          | Spector             |       | 11
 California            | Dana           | Ho                  |       | 12
 West Virginia         | Brooklyn       | Doggette            |       | 11
 Ithaca College        | Emma           | Duncan              |       |  1
 Alabama               | Amanda         | Jetter              |       | 10
 S.E. Missouri         | Taylor         | Penzien             |       |  8
 Oregon State          | Shireen        | Khamedoost          |       |  7
 UCLA                  | Ellette        | Craddock            |       |  3
 California            | Zoe            | Draghi              |       | 12
 Ursinus College       | Vanessa        | Scalora             |       |  9
 Minnesota             | Hanna          | Nordquist           |       |  7
 UIC                   | Amelia         | Rafferty            |       |  1
 Springfield College   | Linda          | McAuley             |       |  1
 Arizona               | Kennady        | Schneider           |       | 12
 Bowling Green         | Caroline       | Ellingboe           |       | 12
 Wisconsin-Eau Claire  | Erin           | Olson               |       |  9
 Brockport State       | Caitlin        | Elsadek             |       | 10
 UC Davis              | Cassie         | Quebral             |       | 12
 California            | Isabelle       | Castillo            |       |  2
 Hamline               | Josephine      | Kent                |       |  3
 Wisconsin-Whitewater  | Alexis         | Williams            |       |  8
 Cornell               | Hannah         | Clark               |       |  6
 Missouri              | Tia            | Allbritten          |       | 13
 Brockport State       | Amanda         | Rota                |       |  9
 Wisconsin-La Crosse   | Elsa           | Spitzmueller        |       |  9
 Central Michigan      | Preslee        | Harrald             |       | 12
 Air Force Academy     | Hannah         | Wilken              |       |  8
 Bridgeport            | Randi          | CUTOLO              |       | 13
 Wisconsin-Oshkosh     | Leane          | Blais               |       |  9
 Illinois State        | Samantha       | Ward                |       | 12
 Cornell               | Elana          | Molotsky            |       | 11
 Illinois State        | Heather        | Pena                |       |  5
 Oklahoma              | McKenzie       | Wofford             |       | 12
 Alaska                | Brice          | Mizell              |       |  1
 Arkansas              | Sydnie         | Dillard             |       | 12
 Hamline               | Madison        | Couves              |       |  4
 William & Mary        | BRANDY         | STOVER              |       | 10
 Missouri              | Becca          | Johnson             |       | 13
 Pittsburgh            | Dani           | Hall                |       | 10
 Ball State            | Jillian        | Hacker              |       |  4
 West Chester          | Cecelia        | Lorenzen            |       |  9
 Wisconsin-Stout       | Kasondra       | Tulloch             |       |  3
 West Chester          | Lindsay        | Knapp               |       | 11
 Hamline               | Madeline       | Lind                |       |  5
 San Jose State        | Mackenzie      | Douglas             |       | 12
 Brockport State       | Kendal         | Hamer               |       |  8
 Winona State          | Kathryn        | Pipp                |       | 12
 Arkansas              | Erin           | Freier              |       | 12
 Wisconsin-Eau Claire  | Emily          | Van Krevelen        |       |  1
 North Carolina        | Lindsey        | Lemke               |       |  9
 Maryland              | Nicole         | Dragon              |       |  2
 Pennsylvania          | Kyra           | Levi                |       | 10
 West Virginia         | Melissa        | Idell               |       | 11
 Ball State            | Miranda        | Kuehl               |       | 12
 Oregon State          | Katelyn        | Ohlrich             |       |  9
 Lindenwood University | Trystien       | Charles             |       |  9
 Wisconsin-Whitewater  | Kate           | Mierow              |       |  1
 Cornell               | Abaigeal       | Thompson            |       | 10
 Alabama               | Kiana          | Winston             |       |  6
 George Washington     | Brenna         | Marcoux             |       |  1
 Wisconsin-Whitewater  | Grayson        | Esslinger           |       |  7
 Pennsylvania          | Emily          | Shugan              |       |  9
 Springfield College   | Nicole         | Caradonna           |       | 10
 Iowa State            | Lark           | Pokladnik           |       | 11
 Penn State            | Lexi           | Carroll             |       |  6
 Central Michigan      | Jordan         | Charrette           |       |  1
 Southern Utah         | Arlyn          | AMOR                |       |  8
 L.S.U.                | Shae           | Zamardi             |       | 11
 Wisconsin-Oshkosh     | Elizabeth      | Kiel                |       |  9
 BYU                   | Ashley         | Robinson            |       | 12
 Winona State          | Katie          | Carling             |       | 12
 Alaska                | Kallie         | Randolph            |       |  9
 Hamline               | Briana         | Bridgeford          |       | 10
 UIC                   | Riley          | Cholod              |       | 11
 Centenary College     | Jordan         | Anderson            |       |  9
 Western Michigan      | Kendall        | Carlson             |       |  2
 Wisconsin-Whitewater  | Caroline       | Holverson           |       |  9
 Ball State            | Angela         | Durkac              |       | 10
 Bowling Green         | Morgan         | Denlinger           |       |  8
 Michigan State        | Hailee         | Westney             |       |  9
 Arizona               | Shay           | Fox                 |       | 12
 Bridgeport            | Carol          | CHILES              |       |  9
 Winona State          | Danielle       | Thenell             |       | 12
 Boise State           | Diana          | Mejia               |       | 12
 San Jose State        | Gabby          | Kambur              |       |  9
 Bridgeport            | Bethany        | DICARLO             |       |  5
 Missouri              | Briana         | Conkle              |       | 13
 Florida               | Grace          | McLaughlin          |       |  1
 Ithaca College        | Anastassia     | Trent               |       |  7
 Brockport State       | Connie         | Kung                |       |  1
 Temple                | Hannah         | Popper              |       |  6
 Hamline               | Madeleine      | Sendek              |       |  1
 Wisconsin-Eau Claire  | Leah           | Robinette           |       |  8
 Brown                 | Claire         | Ryan                |       | 11
 Ithaca College        | Kelly          | Nash                |       |  9
 Brockport State       | Miranda        | Shaine              |       |  6
 Cornell               | Julohn         | Teixeira            |       | 10
 Rhode Island College  | Alexandra      | Otis                |       |  2
 Kentucky              | Sara           | Shipley             |       |  1
 UIC                   | Alexandra      | Vedenin             |       |  2
 Bowling Green         | Jordan         | Rae                 |       | 12
 Lindenwood University | Olivia         | Oswalt              |       |  6
 UC Davis              | Whitney        | Estrada             |       |  1
 West Virginia         | Lindsey        | Litten              |       | 10
 Yale                  | Kacie          | Traina              |       |  3
 Alaska                | Nicole         | Larkin              |       | 11
 Brown                 | Tori           | Kinamon             |       |  1
 Kentucky              | Cori           | Rechenmacher        |       | 11
 Nebraska              | Madison        | McConkey            |       |  1
 Rutgers               | Ayana          | Lee                 |       |  2
 Georgia               | Vivi           | Babalis             |       | 12
 Temple                | Taylor         | Rakus               |       |  8
 Alaska                | Kendra         | Daniels             |       |  9
 Missouri              | Sasha          | Sander              |       |  3
 UCLA                  | Sophina        | DeJesus             |       | 11
 Cortland State        | Bri            | Michaels            |       | 10
 Kent State            | Ali            | Marrero             |       | 11
 L.S.U.                | Michelle       | Gauthier            |       |  1
 Ohio State            | Rachel         | Abrams              |       | 12
 Brockport State       | Lily           | Jagodzinski         |       | 10
 Springfield College   | Alexis         | Stiefel             |       |  2
 Southern Utah         | Natalie        | TREJO               |       | 12
 Oregon State          | Jamie          | Radermacher         |       |  3
 Pittsburgh            | Laura          | Kummerle            |       | 10
 Central Michigan      | Taylor         | Bolender            |       | 12
 Oregon State          | Kailie         | Ponto               |       |  4
 Rhode Island College  | Jamie          | Krywinski           |       |  3
 Hamline               | Alexandra      | Vorderbruggen       |       |  9
 Rutgers               | Anastasia      | Halbig              |       | 11
 Northern Illinois     | Taylor         | Crumley             |       |  7
 Wisconsin-Oshkosh     | Courtney       | Howard              |       |  9
 Alabama               | Nickie         | Guerrero            |       |  5
 Bowling Green         | McKenna        | Schoenberger        |       |  9
 California            | Jessica        | Howe                |       |  3
 Kent State            | Rachel         | Stypinski           |       | 11
 West Virginia         | Audrey         | Tolbert             |       |  2
 Ball State            | Brooklyn       | Schumacher          |       | 12
 Denver                | Rachel         | Feeken              |       |  8
 Central Michigan      | Taylor         | Noonan              |       |  4
 Western Michigan      | Courtney       | Bergstrom           |       |  1
 Arizona               | Lexi           | Mills               |       | 12
 Western Michigan      | Emilee         | Incammicia          |       |  1
 Rutgers               | Katie          | Stebick             |       |  4
 Denver                | Leah           | Lomonte             |       | 13
 Ball State            | Madison        | Shorts              |       |  2
 Maryland              | Sarah          | Faller              |       | 12
 Iowa State            | Hilary         | Green               |       | 13
 Ball State            | Baylee         | Bell                |       | 12
 Kentucky              | Katie          | Carlisle            |       | 10
 Wisconsin-Oshkosh     | Tabitha        | Dorshorst           |       |  7
 Iowa                  | Johanny        | Sotillo             |       | 11
 Wisconsin-Eau Claire  | Taylor         | Custer              |       |  8
 Springfield College   | Ashley         | Parchinski          |       | 10
 Northern Illinois     | Meg            | Piepenbrink         |       | 12
 Texas Woman's         | Alyssa         | Kelly               |       |  4
 West Chester          | Madison        | Brent               |       |  8
 Utah                  | KASSANDRA      | LOPEZ               |       | 11
 Arizona State         | Brianna        | Gades               |       |  9
 Maryland              | Nikola         | Chung               |       |  2
 Texas Woman's         | Tessa          | Jaranowski          |       |  1
 Wisconsin-Stout       | Stephanie      | Shields             |       |  5
 New Hampshire         | MaKENZIE       | KEROUAC             |       | 12
 Bowling Green         | Gina           | Locigno             |       | 12
 Pennsylvania          | Jennifer       | Silver              |       |  1
 Yale                  | Tatiana        | Winkelman           |       | 10
 Auburn                | Abby           | Milliet             |       |  9
 Illinois State        | Amanda         | Mohler              |       | 11
 Michigan State        | Brittany       | Holmes              |       | 12
 Cornell               | Christine      | Wong                |       | 10
 Ursinus College       | Alexandra      | Puryear             |       |  4
 Boise State           | Molly          | McFarland           |       |  6
 Nebraska              | Amanda         | Lauer               |       |  1
 Maryland              | Emily          | Brauckmuller        |       |  1
 Brown                 | Maggie         | McAvoy              |       |  8
 Bowling Green         | Krista         | Walberer            |       |  4
 Oklahoma              | Natalie        | Brown               |       |  1
 Cortland State        | Emily          | Nagy                |       |  9
 Iowa                  | Melissa        | Zurawski            |       | 11
 Pittsburgh            | Taylor         | Laymon              |       | 11
 S.E. Missouri         | Lauren         | Israel              |       | 12
 Minnesota             | Abby           | DeMuse              |       |  7
 Winona State          | Jessica        | Gabriel             |       |  9
 Oklahoma              | Haley          | Sorensen            |       | 11
 Cornell               | Courtney       | Spitzer             |       | 11
 Centenary College     | Megan          | Desjardins          |       | 13
 Alaska                | Morgan         | Ross                |       |  1
 UC Davis              | Jamie          | Yamashita           |       |  1
 West Chester          | Patricia       | Konschak            |       |  1
 West Chester          | Emily          | Harrison            |       |  1
 Kent State            | Rebecca        | Osmer               |       | 11
 New Hampshire         | CATARINA       | BROCCOLI            |       | 10
 Texas Woman's         | Madison        | Kremer              |       | 10
 Southern Utah         | Ana            | JAWORSKI            |       | 12
 Lindenwood University | Shaylyn        | Garay               |       | 11
 Arizona               | Krysten        | Howard              |       | 12
 Eastern Michigan      | Taylor         | Young               |       |  7
 Utah State            | JoAnna         | Cuba                |       |  9
 Georgia               | Hayley         | Sanders             |       |  1
